ID;p80;tms;Acid_ton;Salmu_ton;Sal_ton;Menos100;Mas19mm;Humedad_BS;tms_cdato;P80_PP;Acid_kgpt;Salmu_kgpt;Sal_kgpt;tms_cdato100;Menos100_cdato100;Mas19mm_cdato100;Humedad_BS_cdato100
945184;15.11851931;58590.15247;1090.77251;349.53125;221.5;17.32114013;4.262343676;4.838943703;58590.15247;885.7963512;18.61699388;5.965699615;3.780498781;58590.15247;10.14848241;2.497313658;2.835144493
945185;13.48561049;4105.781633;0;0;0;17.32114013;0;0;4105.781633;55.36897184;0;0;0;4105.781633;0.71116819;0;0
945186;14.03655529;25956.39751;508.298336;355.59375;0;17.54145577;4.712733385;6.79500255;25956.39751;364.3384088;19.58277668;13.69965727;0;25956.39751;4.55312999;1.223255811;1.763737873
945187;14.50668716;37509.90173;748.152532;274;123.5;17.53362431;5.616515924;6.060606061;37509.90173;544.14441;19.94546766;7.304737879;3.292463971;37509.90173;6.576845248;2.106749604;2.273327378
945188;14.04093266;65374.50361;1276.496902;531;66.5;17.63508254;3.635941865;7.820151358;65374.50361;917.9190026;19.52591349;8.12243261;1.017216137;65374.50361;11.52884767;2.376978946;5.112385132
945189;14.11826372;39767.67174;791.901026;278;260;17.79131587;8.457670431;5.89867526;39767.67174;561.4504772;19.91318554;6.990602865;6.537973903;39767.67174;7.075192092;3.363418614;2.345765814
945190;15.1957407;52240.17915;1033.666118;387.5;345;17.68518155;7.883012737;6.212033555;52240.17915;793.8282165;19.7868027;7.417662157;6.604112114;52240.17915;9.238770526;4.118099976;3.245177458
945191;13.75675297;30201.64019;749.29172;313;216;17.72080444;9.186351706;5.344647908;30201.64019;415.4765033;24.80963667;10.36367555;7.151929453;30201.64019;5.351973596;2.774428889;1.614171331
945192;;;;;;;;;;;;;;;;;
945193;14.88157368;58396.33958;1236.423208;422;575;17.75444776;5.553033742;5.229053647;58396.33958;869.0294299;21.17295736;7.226480342;9.846507575;58396.33958;10.3679476;3.242768441;3.053575924
945194;13.8470149;55070.03568;1225.45393;449.328125;381;17.481312;5.888080212;7.476574701;55070.03568;762.5556049;22.25264456;8.159212527;6.918462922;55070.03568;9.626964756;3.242567874;4.117352356
945195;13.57842302;43026.32937;730.880972;355;189;17.46354267;4.284971399;6.706314058;43026.32937;584.2297014;16.98683068;8.250761921;4.392659164;43026.32937;7.51392139;1.843665908;2.885480775
945196;13.06779003;36927.06414;771.652878;203.734375;331.4;17.3668437;5.409605609;7.437964873;36927.06414;482.5551207;20.89667554;5.517210202;8.974447542;36927.06414;6.413065512;1.997608533;2.746622059
945197;14.48018932;58739.32834;1271.444052;81;938.2;17.25457241;12.58486169;7.182038525;58739.32834;850.5565951;21.64553269;1.378973888;15.97226299;58739.32834;10.13521994;7.392263228;4.218681191
945198;14.10240364;48616.81321;974.850944;151.703125;616.4;17.38969682;9.102180057;5.671217644;48616.81321;685.6139235;20.05172449;3.120383978;12.67874135;48616.81321;8.454316418;4.425189876;2.757165288
945199;13.56307983;37175.49485;690.145814;414.359375;0;17.0159784;2.705472534;7.443579253;37175.49485;504.2142046;18.56453604;11.14603522;0;37175.49485;6.325774174;1.005772803;2.767187422
1045200;15.00329304;42717.38216;696.723706;339.875;0;8.967807869;4.969340828;6.781110234;42717.38216;640.9014024;16.31007498;7.956363026;0;42717.38216;3.830812759;2.122772312;2.896712774
1045201;15.38832474;24202.62638;489.336368;255;0;13.64213066;7.134091807;7.255139057;24202.62638;372.4378743;20.21831682;10.53604662;0;24202.62638;3.301753914;1.726637586;1.755934199
