compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
CR;ZD-2253;91950.427;21892.255;2953.447;91948.346;21894.174;2958.737;91952.498;21890.335;2948.153;GMCOMP02-784;18;30;12;0.403;0.175;0.057;0.172;0.576;0.427;AND;CLO;CUO;CUO;4;3;9;2026;0.35;0.161;0.067;0.081;0.651;0.231;;0.05;0.168;0.217;0.039;0.099;;3.25;;;61.3;59.4;60.6;16.3;19.5;2.233;3.7;120.9;0.12092;;0.48676;;0.524;;0.9018;48703;48.7;22.988;704;1.25;2.415;0.137;0.02;0.008;0.084;0.2;0.61;;0.07;0.196;0.131;0.004;0.057;;3.51
CR;ZD-2253;91957.318;21885.85;2935.798;91955.254;21887.774;2941.093;91959.378;21883.923;2930.502;GMCOMP02-785;38;50;12;0.463;0.075;0.197;0.192;0.587;0.415;AND;CLO;SSE;SSE;1;1;9;2026;0.303;0.105;0.112;0.059;0.716;0.195;;0.52;0.175;0.223;0.098;0.105;;3.77;;;65.5;63;64.6;16.3;19.2;2.193;3.8;321.9;0.32185;;0.51854;;0.506;;1.0496;50584;50.58;24.408;715;1.18;2.598;0.106;0.03;0.01;0.056;0.38;0.53;;0.46;0.16;0.143;0.01;0.058;;3.58
CR;ZD-2254;92286.881;21773.858;2944.898;92285.146;21775.797;2950.305;92288.615;21771.917;2939.492;GMCOMP02-799;28;40;12;0.348;0.052;0.14;0.157;0.552;0.451;AND;BIO;SSE;SSE;1;1;9;2026;0.386;0.07;0.202;0.101;0.705;0.262;;0.81;0.252;0.228;0.01;0.112;;3.97;;;72.3;64.2;69.9;18.8;22.6;2.4147;3.9;35.6;0.03555;;0.53474;;0.492;;1.1072;53750;53.75;22.741;701;1.54;2.311;0.108;0.025;0.018;0.069;0.4;0.64;;0.8;0.244;0.194;0.004;0.086;;4.07
CR;ZD-2254;92290.348;21769.975;2934.086;92288.615;21771.917;2939.492;92292.079;21768.031;2928.68;GMCOMP02-800;40;52;12;0.35;0.088;0.18;0.082;0.766;0.234;AND;BIO;SSE;SSE;1;1;9;2026;0.611;0.151;0.341;0.077;0.805;0.126;;0.85;0.227;0.228;0.058;0.115;;3.56;;;74.5;74;74.4;21.5;28.5;3.0998;3.3;135.6;0.13555;;0.33548;;0.271;;1.0926;51061;51.06;19.469;693;1.54;1.779;0.156;0.025;0.047;0.064;0.46;0.41;;1.14;0.244;0.151;0.007;0.077;;3.65
CR;ZD-2254;92301.867;21757.016;2898.039;92300.149;21758.964;2903.448;92303.568;21755.058;2892.629;GMCOMP02-801;80;92;12;0.375;0.147;0.152;0.077;0.797;0.205;AND;BIO;SSE;SSE;1;1;9;2026;0.316;0.047;0.17;0.074;0.687;0.234;;0.5;0.277;0.302;0.078;0.129;;4.55;;;63.9;47.3;56.7;21.6;23.9;2.1545;3.8;217;0.21704;;0.52747;;0.594;;1.0271;52002;52;21.959;704;1.43;2.417;0.115;0.03;0.017;0.061;0.41;0.53;;0.45;0.257;0.268;0.007;0.107;;4.36
CR;ZD-2255;92349.971;21693.232;2943.044;92348.311;21695.072;2948.508;92351.628;21691.392;2937.579;GMCOMP02-802;30;42;12;0.45;0.213;0.083;0.153;0.658;0.34;AND;QSE;CUO;MSP;4;3;9;2026;0.241;0.062;0.047;0.112;0.452;0.465;;0.2;0.2;0.199;0.033;0.091;;4.28;;;34.2;19.7;23.1;19.3;20.1;1.8577;3.9;127.7;0.12768;;0.56202;;0.529;;1.0655;46934;46.93;22.617;709;1.3;2.567;0.159;0.029;0.012;0.11;0.26;0.69;;0.21;0.188;0.169;0.007;0.055;;4.37
CR;ZD-2255;92353.007;21689.86;2933.023;92351.628;21691.392;2937.579;92354.385;21688.328;2928.468;GMCOMP02-803;42;52;10;0.346;0.128;0.035;0.183;0.471;0.529;AND;BIO;CUO;SSE;4;3;9;2026;0.285;0.082;0.107;0.07;0.663;0.246;;0.71;0.247;0.234;0.012;0.139;;4.55;;;47.7;40.4;43.6;19.67;21.44;2.0084;3.8;54.8;0.05478;;0.66228;;0.57;;1.0824;49173;49.17;22.885;703;1.43;2.393;0.15;0.032;0.01;0.086;0.28;0.57;;0.68;0.223;0.219;0.007;0.094;;4.5
CR;ZD-2255;92361.844;21679.53;2902.954;92360.268;21681.434;2908.421;92363.421;21677.626;2897.487;GMCOMP02-804;74;86;12;0.455;0.162;0.242;0.052;0.888;0.114;AND;QSE;SSE;SSE;3;1;9;2026;1.187;0.132;0.968;0.054;0.927;0.045;;5.57;0.222;0.146;0.004;0.063;;7.87;;;83.7;80.1;83.1;11.5;26.1;4.9557;3.5;32.9;0.0329;353.7;0.3537;252;0.252;1007.6;1.0076;48274;48.27;20.95;685;1.74;1.778;0.195;0.118;0.017;0.051;0.69;0.26;;5.64;0.166;0.085;0.003;0.022;;7.81
CR;ZD-2256;92341.325;21637.103;2955.699;92339.931;21638.412;2961.387;92342.722;21635.793;2950.013;GMCOMP02-805;14;26;12;0.386;0.216;0.019;0.151;0.609;0.391;AND;BIO;CUO;CUO;4;3;-99;-99;0.418;0.227;0.062;0.087;0.691;0.208;;0.05;0.274;0.294;0.075;0.138;;4.82;;;64.3;67.7;65.5;22.7;27.1;2.6298;3.7;224.5;0.2245;547.7;0.5477;603;0.603;821.1;0.8211;47629;47.63;19.633;686;1.72;2.01;0.15;0.066;0.006;0.063;0.48;0.42;;0.1;0.248;0.191;0.008;0.104;;4.5
CR;ZD-2256;92348.819;21630.08;2925.392;92347.407;21631.403;2931.072;92350.229;21628.755;2919.713;GMCOMP02-806;46;58;12;0.379;0.25;0.014;0.116;0.697;0.306;AND;BIO;CUO;CUO;4;3;9;2026;0.729;0.535;0.079;0.09;0.842;0.123;;0.1;0.228;0.27;0.06;0.117;;3.94;;;79.5;74.5;78.4;18.8;27.2;3.4655;3.5;169.6;0.1696;461.2;0.4612;552;0.552;911.7;0.9117;48064;48.06;22.144;687;1.59;1.86;0.151;0.09;0.007;0.055;0.64;0.36;;0.11;0.207;0.151;0.006;0.072;;4
CR;ZD-2256;92351.638;21627.428;2914.034;92350.229;21628.755;2919.713;92353.045;21626.097;2908.355;GMCOMP02-807;58;70;12;0.366;0.22;0.016;0.13;0.645;0.355;AND;BIO;CUO;CUO;4;3;9;2026;0.467;0.303;0.047;0.087;0.749;0.186;;0.13;0.235;0.255;0.068;0.125;;4.08;;;72.1;72.4;72.2;20.9;26.1;2.7586;3.7;202.9;0.2029;528;0.528;567;0.567;1034.2;1.0342;48689;48.69;22.021;689;1.63;2.075;0.132;0.064;0.005;0.06;0.52;0.45;;0.1;0.193;0.144;0.008;0.071;;3.95
CR;ZD-2257;92306.523;21681;2944.81;92307.911;21679.514;2950.454;92305.141;21682.493;2939.165;GMCOMP02-808;28;40;12;0.345;0.169;0.021;0.15;0.551;0.435;AND;BIO;CUO;CUO;4;3;9;2026;0.38;0.16;0.067;0.101;0.597;0.266;;0.05;0.218;0.258;0.019;0.117;;3.96;;;52;47.5;49.7;22.4;25.1;2.2969;3.9;69.9;0.0699;527.9;0.5279;586;0.586;899.9;0.8999;49082;49.08;20.601;688;1.76;2.12;0.184;0.085;0.008;0.073;0.51;0.4;;0.12;0.21;0.16;0.004;0.063;;3.7
CR;ZD-2257;92291.058;21698.012;2880.814;92292.408;21696.51;2886.464;92289.713;21699.516;2875.164;GMCOMP02-809;96;108;12;0.417;0.249;0.026;0.137;0.659;0.329;LPF;QSE;CUO;CUO;4;3;9;2027;0.638;0.37;0.124;0.144;0.774;0.226;;0.24;0.103;0.092;0.026;0.052;;2.69;;;84.7;79.5;83.9;13;20.8;3.4058;3.3;108.4;0.1084;374.7;0.3747;392;0.392;1004.7;1.0047;50261;50.26;21.712;712;1.23;2.103;0.099;0.034;0.007;0.049;0.41;0.49;;0.18;0.132;0.057;0.003;0.028;;2.23
CR;ZD-2258;92273.658;21702.45;2949.48;92274.594;21701.134;2954.212;92272.73;21703.764;2944.746;GMCOMP02-810;22;32;10;0.44;0.068;0.338;0.034;0.923;0.077;AND;BIO;SSE;SSE;1;1;9;2026;0.319;0.025;0.211;0.074;0.74;0.232;;1.05;0.252;0.134;0.006;0.083;;3.73;;;56.1;45.6;50.9;20.4;22.6;2.2141;3.5;33.2;0.0332;616.9;0.6169;564;0.564;994.4;0.9944;51033;51.03;20.477;698;1.54;1.948;0.141;0.06;0.03;0.042;0.64;0.3;;1.1;0.141;0.117;0.003;0.056;;3.09
CR;ZD-2258;92268.171;21710.344;2921.062;92269.074;21709.027;2925.8;92267.271;21711.66;2916.323;GMCOMP02-811;52;62;10;0.502;0.06;0.346;0.096;0.809;0.191;AND;BIO;SSE;SSE;1;1;9;2026;0.372;0.027;0.233;0.092;0.699;0.247;;0.81;0.231;0.141;0.005;0.087;;4.14;;;60.9;54.4;58.2;20.7;23.8;2.3512;3.4;33.8;0.0338;590.7;0.5907;527;0.527;1016.6;1.0166;51174;51.17;17.761;701;1.7;1.723;0.146;0.059;0.026;0.051;0.58;0.35;;0.9;0.148;0.107;0.003;0.059;;3.76
CR;ZD-2258;92264.225;21716.134;2900.208;92265.119;21714.82;2904.948;92263.332;21717.447;2895.467;GMCOMP02-812;74;84;10;0.554;0.196;0.262;0.096;0.827;0.173;AND;BIO;SSE;SSE;1;1;9;2026;0.889;0.105;0.663;0.07;0.864;0.079;;0.75;0.209;0.143;0.004;0.091;;4.19;;;73.3;72.1;73;15.8;25.6;3.8189;3.2;21.9;0.0219;524.3;0.5243;479;0.479;999.8;0.9998;50626;50.63;20.745;694;1.63;1.545;0.239;0.127;0.047;0.045;0.73;0.19;;0.84;0.146;0.107;0.002;0.058;;3.33
CR;ZD-2260;92236.137;21737.392;2935.923;92237.258;21735.816;2940.533;92235.013;21738.963;2931.311;GMCOMP02-813;38;48;10;0.854;0.274;0.4;0.18;0.789;0.211;LPF;QSE;SSE;SSE;3;1;9;2026;0.572;0.142;0.315;0.106;0.799;0.185;;0.9;0.118;0.072;0.013;0.045;;3.22;;;73.8;74.3;73.9;13.34;19.88;3.2613;3.4;57.7;0.0577;396.3;0.3963;365;0.365;988.5;0.9885;50703;50.7;21.959;714;1.41;2.023;0.151;0.075;0.011;0.05;0.57;0.33;;0.92;0.099;0.069;0.003;0.023;;2.79
CR;ZD-2260;92226.543;21750.921;2896.25;92227.874;21749.031;2901.787;92225.207;21752.806;2890.713;GMCOMP02-814;80;92;12;0.5;0.078;0.217;0.205;0.59;0.41;AND;BIO;SSE;SSE;1;1;9;2026;0.42;0.029;0.233;0.138;0.624;0.329;;0.77;0.251;0.139;0.005;0.089;;4;;;57.4;50.5;54.2;16.08;19.35;2.3939;3.7;30;0.03;618.5;0.6185;543;0.543;977.6;0.9776;50563;50.56;18.316;703;1.65;2.002;0.179;0.063;0.012;0.081;0.42;0.45;;0.84;0.151;0.103;0.003;0.059;;3.45
CR;ZD-2261;92144.582;21492.947;2943.163;92145.359;21490.766;2947.594;92143.806;21495.133;2938.733;GMCOMP02-815;14;24;10;0.434;0.256;0.016;0.162;0.627;0.373;AND;CLO;CUO;CUO;4;3;9;2026;0.5;0.263;0.058;0.139;0.642;0.278;;0.41;0.199;0.176;0.025;0.098;;3.92;;;66.2;45.7;57.5;20.82;24.33;2.5588;3.3;9.5;0.0095;520.4;0.5204;620;0.62;768.1;0.7681;52002;52;19.572;709;1.12;2.182;0.17;0.084;0.01;0.075;0.55;0.44;;0.54;0.162;0.139;0.005;0.066;;4.16
CR;ZD-2261;92141.971;21500.403;2928.109;92142.886;21497.766;2933.421;92141.076;21503.045;2922.797;GMCOMP02-816;30;42;12;0.375;0.285;0.009;0.081;0.784;0.216;AND;BIO;CUO;CUO;4;3;13;2031;0.383;0.277;0.035;0.068;0.815;0.178;;0.15;0.242;0.212;0.025;0.115;;4.56;;;75.4;53.4;68.5;21;24.15;2.4129;3.4;9.2;0.0092;557.8;0.5578;673;0.673;951.4;0.9514;49945;49.95;21.115;704;1.25;2.11;0.095;0.068;0.006;0.018;0.78;0.19;;0.16;0.221;0.181;0.004;0.099;;3.75
CR;ZD-2261;92136.468;21517.193;2894.467;92137.316;21514.534;2899.779;92135.621;21519.851;2889.155;GMCOMP02-817;68;80;12;0.42;0.03;0.125;0.265;0.369;0.631;AND;BIO;MSP;MSP;1;4;13;2031;0.541;0.023;0.179;0.303;0.373;0.56;;0.63;0.372;0.169;0.007;0.098;;4.35;;;39.9;33;35.5;22.3;25.05;2.2442;3.6;28.3;0.0283;574.3;0.5743;554;0.554;955.3;0.9553;50444;50.44;20.621;706;1.39;2.169;0.327;0.065;0.029;0.187;0.29;0.57;;0.73;0.239;0.135;0.004;0.078;;3.26
CR;ZD-2262;92180.643;21443.448;2910.334;92179.853;21444.227;2916.23;92181.431;21442.668;2904.437;GMCOMP02-818;44;56;12;0.317;0.186;0.033;0.088;0.691;0.278;AND;CLO;CUO;CUO;4;3;13;2031;0.411;0.191;0.061;0.126;0.613;0.307;;0.16;0.236;0.226;0.025;0.124;;4.86;;;57.4;46;51.9;21.24;24.15;2.2941;3.5;28;0.028;573.3;0.5733;568;0.568;940.5;0.9405;42315;42.31;20.724;702;1.39;2.129;0.176;0.068;0.009;0.073;0.44;0.41;;0.26;0.163;0.166;0.005;0.074;;3.71
CR;ZD-2262;92183.635;21440.439;2887.728;92182.99;21441.097;2892.643;92184.277;21439.779;2882.814;GMCOMP02-819;68;78;10;0.384;0.216;0.02;0.143;0.615;0.372;AND;BIO;CUO;CUO;4;3;13;2031;0.433;0.264;0.04;0.099;0.702;0.229;;0.11;0.22;0.21;0.025;0.098;;4.64;;;67.2;70.9;68.4;16.502;21.23;2.7117;3.5;91.6;0.0916;533.8;0.5338;599;0.599;1028.4;1.0284;52297;52.3;23.955;717;0.89;2.62;0.143;0.094;0.008;0.064;0.71;0.45;;0.15;0.22;0.18;0.01;0.08;;3.88
CR;ZD-2263;94096.153;22271.309;3193.7;94097.566;22269.86;3199.348;94094.739;22272.754;3188.051;GMCOMP02-820;4;16;12;2.542;0.208;2.173;0.158;0.937;0.062;LPF;QSE;SSE;SSE;3;1;-99;-99;2.434;0.201;2.185;0.018;0.98;0.007;;1.99;0.079;0.077;0.001;0.025;;1.45;;;80.7;73.6;79.2;6.362;33.946;7.9769;2.7;10.9;0.0109;204.7;0.2047;210;0.21;348.2;0.3482;49875;49.87;23.173;682;1.74;0.994;0.471;0.328;0.08;0.013;0.87;0.03;;2.06;0.041;0.052;0.0005;0.008;;1.3
CR;ZD-2263;94093.321;22274.189;3182.4;94094.739;22272.754;3188.051;94091.901;22275.621;3176.749;GMCOMP02-821;16;28;12;0.772;0.11;0.635;0.025;0.965;0.032;LPF;SER;SSE;SSE;3;1;-99;-99;1.276;0.134;1.025;0.013;0.908;0.01;;1.57;0.067;0.084;0.001;0.034;;0.69;;;83.8;76.6;82.5;6.6;21.7;4.9703;2.8;10.1;0.0101;220.2;0.2202;305;0.305;387.7;0.3877;50212;50.21;22.988;705;1.09;1.695;0.207;0.176;0.016;0.01;0.93;0.05;;1.51;0.148;0.139;0.001;0.012;;0.99
CR;ZD-2263;94089.528;22277.998;3167.33;94090.952;22276.573;3172.982;94088.101;22279.421;3161.678;GMCOMP02-822;32;44;12;1.253;0.157;1.042;0.058;0.957;0.046;LPF;QSE;SSE;SSE;3;1;-99;-99;1.322;0.104;1.129;0.015;0.933;0.011;;2.02;0.129;0.082;0.001;0.023;;1.83;;;91.5;88.8;91.3;3.8;21.9;5.7774;2.9;9.5;0.0095;186.6;0.1866;288;0.288;320.9;0.3209;51623;51.62;22.453;707;1.16;1.72;0.112;0.086;0.011;0.011;0.87;0.1;;2.07;0.182;0.112;0.001;0.009;;1.84
CR;ZD-2266;94102.114;22263.984;3197.371;94101.137;22265.07;3203.19;94103.096;22262.9;3191.552;GMCOMP02-823;0;12;12;1.387;0.19;1.095;0.102;0.926;0.074;LPF;QSE;SSE;SSE;3;1;-99;-99;1.593;0.194;1.322;0.018;0.952;0.011;;1.29;0.109;0.095;0.001;0.019;;1.15;;;89.4;88.2;89.2;2.4;24;6.3454;2.6;8.8;0.0088;148;0.148;188;0.188;290.4;0.2904;48373;48.37;21.588;700;1.34;1.288;0.17;0.137;0.017;0.012;0.91;0.07;;1.26;0.199;0.106;0.001;0.009;;1.32
CR;ZD-2266;94104.081;22261.817;3185.733;94103.096;22262.9;3191.552;94105.068;22260.735;3179.914;GMCOMP02-824;12;24;12;1.063;0.123;0.878;0.062;0.942;0.058;LPF;QSE;SSE;SSE;3;1;-99;-99;1.068;0.11;0.85;0.019;0.899;0.018;;1.07;0.128;0.12;0.001;0.025;;0.97;;;89.7;83.4;89;6.2;19.9;4.3807;2.8;10.8;0.0108;187.7;0.1877;300;0.3;348.7;0.3487;50275;50.28;22.185;710;1.12;1.711;0.11;0.081;0.011;0.014;0.84;0.13;;1.08;0.186;0.124;0.001;0.009;;1.13
CR;ZD-2266;94105.89;22259.832;3175.066;94105.068;22260.735;3179.914;94106.713;22258.929;3170.217;GMCOMP02-825;24;34;10;1.202;0.15;0.964;0.084;0.927;0.07;LPF;QSE;SSE;SSE;3;1;-99;-99;1.14;0.111;0.909;0.015;0.895;0.013;;1.18;0.12;0.086;0.002;0.029;;0.97;;;88.1;83.1;87.4;5.2;19.8;4.9202;2.9;11.7;0.0117;207.9;0.2079;257;0.257;605.4;0.6054;49615;49.62;18.193;708;1.14;1.75;0.136;0.117;0.007;0.01;0.91;0.07;;1.13;0.126;0.107;0.001;0.011;;0.96
CR;ZD-2266;94107.696;22257.841;3164.399;94106.713;22258.929;3170.217;94108.678;22256.751;3158.581;GMCOMP02-826;34;46;12;1.203;0.138;0.965;0.098;0.917;0.081;LPF;SER;SSE;SSE;3;1;-99;-99;1.824;0.124;1.583;0.019;0.936;0.01;;3.14;0.142;0.055;0.001;0.019;;2.55;;;87.3;80.8;86.4;3.5;26.2;6.8983;3;11.5;0.0115;185.5;0.1855;178;0.178;686.1;0.6861;4696;4.7;22.844;697;1.43;1.56;0.233;0.182;0.025;0.017;0.89;0.07;;3.17;0.133;0.091;0.001;0.008;;2.65
CR;ZD-2266;94109.655;22255.657;3152.763;94108.678;22256.751;3158.581;94110.641;22254.569;3146.946;GMCOMP02-827;46;58;12;1.17;0.115;0.973;0.081;0.93;0.069;LPF;QSE;SSE;SSE;3;1;-99;-99;1.374;0.158;1.099;0.036;0.915;0.026;;7.33;0.232;0.068;0.002;0.014;;6.49;;;91.9;86.8;91.5;3.3;21.7;5.5519;3;11;0.011;160;0.16;158;0.158;321.8;0.3218;49742;49.74;22.124;706;1.18;1.774;0.112;0.066;0.017;0.027;0.74;0.24;;7.54;0.117;0.091;0.001;0.006;;6.49
CR;ZR-1512;92128.902;21812.032;2945.257;92129.978;21812.471;2949.084;92127.826;21811.593;2941.429;GMCOMP02-860;254;262;8;0.805;0.48;0.117;;0.742;;LPF;QSE;CUO;CUO;4;3;9;2026;0.746;0.477;0.135;0.126;0.82;0.169;;0.06;0.13;0.105;0.023;0.126;;2.31;;;81.3;83.9;81.7;17.1;26.8;3.8111;3.4;109.6;0.1096;742.7;0.7427;546;0.546;1061.6;1.0616;47678;47.68;23.173;701;1.23;2.152;0.14;0.083;0.018;0.03;0.72;0.21;;0.14;0.19;0.114;0.005;0.058;;2.18
CR;ZR-2126;92386.193;21623.573;2934.206;92386.141;21623.501;2938.205;92386.245;21623.644;2930.207;GMCOMP02-861;36;44;8;0.491;0.124;0.272;0.09;0.807;0.183;AND;QSE;CUO;SSE;4;3;9;2026;0.567;0.074;0.364;0.086;0.772;0.152;;0.88;0.137;0.115;0.005;0.078;;4.73;;;70.7;65.5;69.1;18.3;24;3.0648;3.4;56.6;0.0566;710.2;0.7102;703;0.703;1041.5;1.0415;51202;51.2;23.173;704;1.27;2.169;0.166;0.077;0.02;0.058;0.58;0.35;;0.98;0.222;0.17;0.005;0.068;;4.28
CR;ZR-2172;92173.864;21444.369;2941.896;92173.266;21444.939;2945.81;92174.457;21443.803;2937.981;GMCOMP02-862;14;22;8;0.4;0.134;0.017;0.23;0.378;0.575;AND;BIO;CUO;SSE;4;3;13;2030;0.416;0.137;0.072;0.167;0.502;0.401;;0.25;0.222;0.185;0.013;0.102;;4.28;;;49.6;33.9;40.3;22.6;24.8;2.2092;3.3;86.2;0.0862;696.2;0.6962;801;0.801;1108;1.108;50640;50.64;22.206;703;1.3;1.974;0.21;0.083;0.019;0.086;0.49;0.41;;0.32;0.322;0.228;0.012;0.096;;4.5
CR;ZR-1070;92365.393;21357.114;2955.534;92366.268;21357.399;2959.427;92364.518;21356.83;2951.641;GMCOMP02-863;216;224;8;0.51;0.229;;;;;AND;CLO;CUO;CUO;4;3;12;2027;0.536;0.339;0.055;0.162;0.735;0.302;;4.61;0.16;0.289;0.242;0.12;;0.043;;;52.1;36.4;43.2;23.1;26.1;2.3942;3.3;198.3;0.1983;712.4;0.7124;800;0.8;786.1;0.7861;51567;51.57;22.062;699;1.36;1.891;0.257;0.087;0.024;0.109;0.43;0.42;;0.31;0.331;0.235;0.02;0.13;;4.48
CR;ZR-2072;92033.734;21804.749;2947.234;92032.186;21805.821;2950.763;92035.258;21803.67;2943.696;GMCOMP02-864;80;88;8;0.511;0.356;0.017;0.126;0.73;0.247;AND;QSE;CUO;CUO;4;3;9;2026;0.529;0.368;0.043;0.083;0.777;0.157;;0.06;0.205;0.235;0.092;0.035;;3.06;;;73.9;65.4;71.5;16.7;22;2.8392;3.6;151.5;0.1515;602.4;0.6024;797;0.797;763.3;0.7633;50458;50.46;23.749;704;1.23;2.376;0.138;0.087;0.015;0.039;0.74;0.28;;0.3;0.308;0.246;0.008;0.083;;3.06
CR;ZR-2271;93597.57;22470.278;3194.146;93598.178;22470.853;3198.058;93596.957;22469.702;3190.236;GMCOMP02-865;32;40;8;0.788;0.083;0.592;0.086;0.857;0.109;AND;QSE;SSE;SSE;3;1;-99;-99;0.806;0.152;0.497;0.08;0.805;0.099;;2.17;0.129;0.128;0.002;0.042;;2.56;;;82.6;83.4;82.7;12.503;22.86;3.8173;3.5;24.1;0.0241;394.8;0.3948;353;0.353;326.7;0.3267;53483;53.48;19.16;717;0.89;2.64;0.143;0.041;0.06;0.042;0.71;0.29;;2.2;0.065;0.078;0.0005;0.012;;2.57
CR;ZR-2277;93546.597;22420.811;3144.513;93547.961;22422.088;3148.05;93545.239;22419.541;3140.972;GMCOMP02-866;94;102;8;0.902;0.107;0.679;0.092;0.871;0.102;PRG;QSE;SSE;SSE;2;2;-99;-99;0.885;0.093;0.658;0.081;0.849;0.092;;1.42;0.125;0.137;0.003;0.037;;1.67;;;80.5;81.2;80.7;12;23.074;4.0354;3.4;23.9;0.0239;337.4;0.3374;265;0.265;486.6;0.4866;50303;50.3;19.181;716;0.94;2.501;0.172;0.096;0.033;0.045;0.75;0.26;;1.52;0.093;0.071;0.001;0.014;;1.78
CR;ZR-2277;93536.673;22411.518;3117.772;93537.961;22412.721;3121.363;93535.39;22410.322;3114.177;GMCOMP02-867;124;132;8;0.557;0.072;0.432;0.049;0.905;0.088;PRG;QSE;SSE;SSE;2;2;-99;-99;0.569;0.076;0.416;0.052;0.865;0.091;;3.39;0.194;0.144;0.004;0.043;;3.77;;;78.9;77.4;78.6;15.5;22.29;3.0037;3.6;39.2;0.0392;422.6;0.4226;338;0.338;327.8;0.3278;51988;51.99;18.934;719;0.89;2.663;0.121;0.015;0.066;0.038;0.67;0.31;;3.53;0.132;0.07;0.002;0.017;;3.75
CR;ZR-2287;93779.209;22373.394;3095.304;93780.508;22374.382;3098.956;93777.934;22372.418;3091.64;GMCOMP02-868;132;140;8;0.606;0.088;0.495;0.012;0.962;0.02;ZPY;QSE;SSE;SSE;2;2;8;2024;0.613;0.069;0.486;0.012;0.905;0.02;;1.39;0.168;0.097;0.003;0.012;;1.28;;;82.4;81.8;82.3;8.133;15.858;3.32945;3.2;14.1;0.0141;132.2;0.1322;212;0.212;277;0.277;51117;51.12;16.958;717;0.89;2.305;0.107;0.079;0.019;0.011;0.92;0.1;;1.45;0.06;0.034;0.0005;0.004;;1.24
CR;ZR-2287;93770.499;22366.698;3069.55;93771.714;22367.632;3073.245;93769.303;22365.783;3065.845;GMCOMP02-869;160;168;8;0.898;0.091;0.782;0.012;0.972;0.013;ZPY;QSE;SSE;SSE;2;2;8;2024;0.937;0.068;0.768;0.009;0.892;0.01;;0.86;0.18;0.052;0.003;0.011;;0.71;;;88.3;91.5;88.7;6.806;20.006;4.6387;3.4;13.7;0.0137;127.7;0.1277;188;0.188;283.3;0.2833;53062;53.06;18.11;721;1.03;2.363;0.109;0.096;0.009;0.008;0.96;0.07;;0.98;0.066;0.042;0.0005;0.004;;0.59
CR;ZR-2291;93718.752;22415.798;3130.962;93718.823;22415.761;3134.961;93718.684;22415.831;3126.963;GMCOMP02-870;80;88;8;0.826;0.109;0.675;0.019;0.949;0.023;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.851;0.091;0.663;0.012;0.886;0.014;;0.7;0.085;0.078;0.002;0.016;;0.64;;;87.6;88.9;87.8;9.032;20.683;4.1813;3.2;13;0.013;155.9;0.1559;291;0.291;323.5;0.3235;52318;52.32;19.654;714;1.05;2.133;0.106;0.077;0.011;0.011;0.83;0.1;;0.8;0.067;0.069;0.0005;0.005;;0.63
CR;ZR-2292;93631.262;22396.541;3170.036;93631.244;22396.597;3173.035;93631.268;22396.472;3167.036;GMCOMP02-871;42;48;6;0.508;0.027;0.259;0.209;0.563;0.411;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.502;0.024;0.316;0.187;0.677;0.373;;3.37;0.17;0.068;0.002;0.012;;2.88;;;47;47;47;11.048;14.679;2.4132;3.4;12.1;0.0121;146.7;0.1467;380;0.38;305.1;0.3051;52388;52.39;18.728;717;1.03;2.418;0.268;0.012;0.097;0.152;0.41;0.57;;3.41;0.086;0.044;0.0005;0.005;;2.74
CR;ZR-2303;94014.147;22493.088;3127.127;94014.269;22493.215;3131.123;94014.022;22492.967;3123.13;GMCOMP02-872;70;78;8;0.607;0.098;0.402;0.079;0.824;0.13;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.662;0.133;0.438;0.049;0.863;0.074;;5.59;0.178;0.077;0.003;0.016;;5.13;;;77.6;78;77.7;8.191;16.142;3.4296;3.3;14.5;0.0145;149.6;0.1496;289;0.289;321.1;0.3211;52002;52;19.53;717;0.96;2.311;0.148;0.097;0.023;0.034;0.81;0.23;;5.71;0.077;0.053;0.0005;0.005;;2.72
