compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
CR;ZR-2131;93914.707;22458.787;3161.197;93915.892;22459.874;3164.86;93913.523;22457.701;3157.534;GMCOMP02-608;174;182;8;1.213;0.206;0.97;0.018;0.969;0.015;PRG;QSE;SSE;SSE;2;2;-99;-99;1.244;0.12;1.094;0.015;0.976;0.012;;1.15;0.135;0.129;0.002;0.009;;1.14;;;90.8;91.8;90.9;4.5;20.6;5.3592;3.2;16.4;0.01644;;0.147275;;0.184;;0.4246;48580;48.58;21.712;715;0.92;2.24;0.115;0.088;0.01;0.012;0.85;0.1;;1.45;0.112;0.074;0.0005;0.005;;1.23
CR;ZR-2122;93882.654;22497.548;3157.666;93883.881;22497.88;3161.458;93881.432;22497.223;3153.87;GMCOMP02-609;174;182;8;0.858;0.195;0.618;0.022;0.948;0.026;PRG;QSE;SSE;SSE;2;2;-99;-99;0.897;0.162;0.713;0.016;0.975;0.018;;1.34;0.093;0.145;0.001;0.011;;1.23;;;89.8;88.5;89.6;5.4;17.6;4.2426;3.1;14.1;0.01407;;0.147792;;0.323;;0.388;47278;47.28;20.477;721;0.8;2.286;0.092;0.067;0.008;0.011;0.82;0.12;;1.95;0.122;0.089;0.001;0.005;;1.43
CR;ZR-2122;93874.973;22495.569;3132.906;93876.12;22495.855;3136.727;93873.852;22495.292;3129.076;GMCOMP02-610;200;208;8;0.594;0.127;0.449;;0.97;;PRG;QSE;SSE;SSE;2;2;-99;-99;0.611;0.078;0.449;0.011;0.863;0.018;;1.34;0.091;0.125;0.001;0.01;;1.24;;;90.5;88.3;90.3;5.3;13.6;3.6733;3.5;14.8;0.01476;;0.14774;;0.447;;0.3925;49334;49.33;9.282;733;0.74;2.748;0.058;0.047;0.003;0.008;0.86;0.14;;1.35;0.157;0.061;0.002;0.006;;1.32
CR;ZR-2033;94060.05;22680.584;3188.227;94060.447;22680.194;3192.188;94059.651;22680.941;3184.263;GMCOMP02-611;140;148;8;0.535;0.092;0.415;;0.948;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.547;0.179;0.313;0.039;0.899;0.071;;2.41;0.105;0.063;0.002;0.005;;2.21;;;87.7;87.2;87.6;0.4;7.7;3.3257;3.7;21.3;0.02129;;0.14375;;0.214;;0.3522;50654;50.65;12.08;727;0.77;2.906;0.068;0.0002;0.03;0.029;0.44;0.43;;2.33;0.299;0.059;0.001;0.005;;2.17
CR;ZR-2119;94197.537;22607.837;3190.874;94196.249;22608.972;3194.487;94198.823;22606.702;3187.26;GMCOMP02-612;130;138;8;1.109;0.104;0.979;0.013;0.977;0.012;ZPY;QSE;SSE;SSE;2;2;-99;-99;1.076;0.096;0.934;0.008;0.957;0.007;;1.68;0.162;0.075;0.002;0.007;;0.98;;;88.3;82.7;87.6;3.9;17.7;4.6732;3;13.5;0.013534;;0.138551;;0.19;;0.3832;48864;48.86;18.09;715;0.89;2.12;0.129;0.013;0.047;0.055;0.47;0.43;;0.68;0.203;0.117;0.003;0.052;;3.2
CR;ZR-2120;94142.97;22579.565;3201.2;94142.155;22580.666;3204.958;94143.786;22578.464;3197.441;GMCOMP02-613;116;124;8;0.761;0.092;0.649;0.012;0.974;0.016;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.695;0.093;0.566;0.012;0.948;0.017;;1.23;0.155;0.116;0.002;0.005;;1.22;;;73.4;73.1;73.3;6.4;14.2;3.4644;3.1;14.2;0.014198;;0.131357;;0.282;;0.3574;48197;48.2;20.477;714;0.61;2.488;0.187;0.165;0.011;0.007;0.94;0.04;;2.73;0.067;0.153;0.0005;0.007;;2.3
CR;ZR-2015;94137.14;22458.489;3135.872;94137.592;22458.007;3139.818;94136.696;22458.97;3131.926;GMCOMP02-614;78;86;8;0.542;0.03;0.407;;0.806;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.592;0.051;0.419;0.073;0.794;0.123;;1.66;0.15;0.057;0.003;0.011;;1.54;;;59.3;61.8;60.3;5.1;10.7;3.0458;3.6;20.4;0.02035;;0.15786;;0.394;;0.3626;50422;50.42;13.089;728;0.78;2.799;0.24;0.109;0.085;0.036;0.81;0.15;;1.7;0.18;0.054;0.002;0.006;;1.63
CR;ZR-2135;93938.801;22522.331;3208.391;93939.881;22523.147;3212.155;93937.721;22521.512;3204.627;GMCOMP02-615;118;126;8;0.768;0.144;0.581;0.029;0.944;0.038;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.816;0.159;0.6;0.031;0.93;0.038;;3.88;0.206;0.067;0.002;0.004;;2.97;;;73.6;73.7;73.6;5.2;14.4;3.8003;3.2;1.5;0.0014527;;0.126785;;0.209;;0.3287;46246;46.25;21.65;720;0.82;2.33;0.218;0.019;0.146;0.043;0.76;0.2;;1;0.114;0.033;0.001;0.007;;0.86
CR;ZR-2135;93917.444;22505.769;3133.095;93918.49;22506.586;3136.869;93916.401;22504.953;3129.321;GMCOMP02-616;198;206;8;0.939;0.111;0.802;;0.972;;PRG;QSE;SSE;SSE;2;2;-99;-99;0.756;0.064;0.637;0.014;0.927;0.019;;0.9;0.142;0.095;0.001;0.008;;0.95;;;93.5;102.8;94.1;4.6;16.5;4.2842;3.7;15.7;0.0157;;0.14938;;0.273;;0.3794;50324;50.32;13.562;732;0.73;3.018;0.049;0.028;0.007;0.01;0.71;0.2;;0.89;0.165;0.071;0.001;0.006;;0.93
CR;ZR-2011;94073.574;22378.664;3145.621;94074.113;22378.259;3149.564;94073.035;22379.069;3141.678;GMCOMP02-617;60;68;8;0.82;0.083;0.723;;0.983;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.775;0.166;0.58;0.006;0.963;0.008;;0.96;0.125;0.068;0.005;0.022;;0.97;;;88.7;82.8;88;6.8;16.6;3.9242;3.1;25.7;0.025676;;0.191755;;0.257;;0.3641;47495;47.5;19.304;717;0.84;2.221;0.088;0.066;0.005;0.012;0.81;0.14;;0.96;0.115;0.048;0.001;0.005;;0.81
