Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
;28;23;24-ago-21;08-sept-21;10-sept-21;75.933;128.871;4.54;0.602;0.122;0.384;2.688;1.963;;15.6;;4.8;84.1;775.6;157.7;494.3;6;20.9;15.2;0;15.2;15;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.96;33.1;0;33.1
;29;23;27-ago-21;12-sept-21;14-sept-21;79.058;133.999;4.43;0.641;0.11;0.457;2.744;2.089;;14.4;;4.6;88.6;858.7;147.6;612.9;6.3;20.5;15.6;0;15.6;16;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.84;34.1;0;34.1
;30;23;30-ago-21;14-sept-21;16-sept-21;81.266;134.053;4.36;0.639;0.109;0.462;2.599;1.922;;15.2;;4.6;89.4;856.6;145.7;619.8;6.4;19.4;14.3;0;14.3;15;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.84;33.8;0;33.8
;31;23;01-sept-21;16-sept-21;22-sept-21;80.176;132.492;3.9;0.61;0.147;0.396;2.702;1.607;;14.7;;4.1;89.1;807.7;194.7;524.7;6.4;20.4;12.1;0;12.1;15;6;0;210;6;210;0;9;0.000078125;22;6;0.014;2.88;35;0;35
;32;23;05-sept-21;19-sept-21;20-sept-21;77.889;127.963;4.43;0.598;0.119;0.435;2.382;1.514;;15.1;;4.6;92.6;765.8;152.6;556.7;6.2;18.6;11.8;0;11.8;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.98;34.9;0;34.9
;33;23;07-sept-21;21-sept-21;24-sept-21;78.035;128.789;4.66;0.633;0.126;0.471;2.695;1.883;;15.7;;4.9;94.3;814.6;162.2;606;6.2;20.9;14.6;0;14.6;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.96;36.1;0;36.1
;34;23;10-sept-21;24-sept-21;25-sept-21;80.047;131.73;4.51;0.698;0.145;0.508;2.505;1.865;;15.6;;4.7;93.5;919.8;190.6;669.3;6.4;19;14.2;0;14.2;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.89;35.4;0;35.4
;35;23;12-sept-21;26-sept-21;29-sept-21;81.625;134.778;4.47;0.734;0.154;0.527;2.837;1.941;;15.6;;4.7;92.9;988.6;207.9;710.5;6.5;21.1;14.4;0;14.4;14;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.83;36;0;36
;36;23;15-sept-21;30-sept-21;01-oct-21;81.381;133.73;4.44;0.908;0.167;0.56;2.851;1.794;;14.8;;4.6;80.1;1.213.90;223.1;748.9;6.5;21.3;13.4;0;13.4;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.85;32.2;0;32.2
;37;23;18-sept-21;02-oct-21;04-oct-21;78.806;129.492;4.93;0.727;0.171;0.382;2.508;1.928;;15.3;;5.2;76.1;941.2;221.2;495.1;6.3;19.4;14.9;0;14.9;14;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.94;30.8;0;30.8
;38;23;20-sept-21;04-oct-21;07-oct-21;76.686;126.701;5.23;0.619;0.284;0.202;2.441;1.271;;15.3;;5.5;78.5;784.7;360.3;255.5;6.1;19.3;10;0;10;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;3.01;33.7;0;33.7
;39;23;24-sept-21;08-oct-21;10-oct-21;76.2;125.68;4.69;0.608;0.199;0.303;2.563;1.662;;14.2;;4.9;82.5;764.2;250;380.3;6;20.4;13.2;0;13.2;14;2;0;210;2;210;0;9;0.000078125;22;6;0.014;3.03;34.1;0;34.1
;40;23;26-sept-21;10-oct-21;13-oct-21;78.741;129.334;4.77;0.611;0.261;0.238;2.776;1.993;;14.9;;5;81.5;790.9;337;307.7;6.2;21.5;15.4;0;15.4;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.95;35;0;35
;41;23;29-sept-21;14-oct-21;15-oct-21;78.857;128.859;6.33;0.609;0.152;0.378;2.186;1.753;;13.7;;6.8;86.9;784.8;195.4;486.8;6.3;17;13.6;0;13.6;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.96;33.4;0;33.4
;42;23;02-oct-21;16-oct-21;19-oct-21;75.772;125.407;5.66;0.656;0.109;0.452;2.447;1.835;;14.1;;6;85.4;823.2;136.2;567;6;19.5;14.6;0;14.6;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;3.04;32.9;0;32.9
;43;23;04-oct-21;19-oct-21;23-oct-21;75.288;124.909;4.44;0.726;0.114;0.55;2.568;1.68;;13.9;;4.6;91.6;906.8;142.7;687.6;6;20.6;13.4;0;13.4;15;4;0;210;4;210;0;9;0.000078125;22;6;0.015;3.05;35;0;35
;44;23;07-oct-21;21-oct-21;24-oct-21;76.969;127.323;4.12;0.622;0.097;0.476;2.11;1.017;169;15.5;;4.3;92.1;791.5;123.6;605.5;6.1;16.6;8;1.3;9.3;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.99;40.6;0;40.6
;45;23;10-oct-21;24-oct-21;27-oct-21;77.895;129.337;4.03;0.629;0.113;0.453;1.908;1.8;70;14.5;;4.2;89.9;814;146.1;585.5;6.2;14.7;13.9;0.5;14.5;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.95;35.5;0;35.5
;46;23;12-oct-21;26-oct-21;28-oct-21;77.501;128.139;4.5;0.67;0.127;0.476;2.204;1.862;31;14.8;;4.7;90.1;858.2;162.7;610.3;6.2;17.2;14.5;0.2;14.8;14;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.97;35.1;0;35.1
